train/learning_rate,train/critic_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps
0.001,46.800633519887924,4,2.012096664402634,32,-111.29132,138,26,34.5,5
0.001,86.68409040239122,8,1.0011564128928714,83,-54.06865275,189,36,23.625,5
0.001,104.88937659012645,12,0.6628176236133042,142,-44.33635458333333,247,49,20.583333333333332,5
0.001,105.2573098402757,16,-1.6136287450790405,191,-30.902096625000002,294,58,18.375,4
0.001,101.90781541304155,20,-2.4151568954641167,237,-17.151115450000002,341,68,17.05,4
0.001,114.39103698730469,24,-2.0937175978906453,288,-12.614618541666667,392,78,16.333333333333332,4
0.001,96.64219665527344,28,-3.8923709869384764,340,-7.729407392857143,444,90,15.857142857142858,4
0.001,143.93907101949057,32,-5.162704865137736,380,-6.4339929375,484,98,15.125,4
0.001,137.08704223632813,36,-4.004416656494141,429,-6.655292750000001,533,105,14.805555555555555,5
0.001,119.47925228542752,40,-5.667451169755724,473,-7.409173500000001,576,112,14.4,5
0.001,123.51886781056722,44,-3.7223504235347114,514,-9.18766606818182,618,120,14.045454545454545,5
0.001,124.06679153442383,48,-5.224642944335938,558,-7.620761416666667,661,130,13.770833333333334,5
0.001,111.61405648125543,52,-5.589006821314494,598,-5.453218653846155,702,140,13.5,5
0.001,135.38400344848634,56,-5.998434782028198,636,-2.975595964285716,739,149,13.196428571428571,4
0.001,122.0908977508545,60,-6.501305937767029,676,2.5765122999999988,783,159,13.05,4
0.001,110.08657343247357,64,-9.421463377335492,728,4.035375109374998,831,170,12.984375,4
0.001,135.59943305121527,68,-9.983060306972927,771,6.380471544117645,874,179,12.852941176470589,4
0.001,126.72064107259115,72,-10.370728429158529,815,9.403272305555554,921,189,12.791666666666666,4
0.001,137.05293731689454,76,-11.526542949676514,860,12.596433960526316,965,196,12.697368421052632,4
0.001,106.80777062310113,80,-15.587722566392687,904,15.8480420625,1011,206,12.6375,4
0.001,94.52423267364502,84,-15.949863147735595,947,18.081223535714283,1050,214,12.5,4
0.001,118.92923058403863,88,-17.13570080863105,995,17.483680000000003,1109,226,12.602272727272727,4
0.001,107.09253565470378,92,-18.93074385325114,1058,19.639667815217393,1164,237,12.652173913043478,4
0.001,124.20570246378581,96,-19.19907455444336,1111,21.98049621875,1217,248,12.677083333333334,4
0.001,99.58208604292436,100,-21.222987261685457,1161,23.475471849999995,1266,257,12.66,4
0.001,98.68443145751954,104,-21.95534896850586,1206,30.184312910000003,1310,269,11.72,4
0.001,136.5211196899414,108,-21.548110580444337,1245,31.890642200000002,1349,277,11.6,4
0.001,110.8704719543457,112,-22.576638793945314,1285,31.876887,1389,286,11.42,4
0.001,106.96059951782226,116,-23.000050926208495,1328,31.18455895,1433,295,11.39,4
0.001,120.20001220703125,120,-25.16192372639974,1373,29.62372766,1477,315,11.36,4
0.001,108.42277348836264,124,-24.575602595011393,1419,31.253300680000002,1526,330,11.34,4
0.001,113.98488744099934,128,-25.838032404581707,1464,31.000511940000003,1567,339,11.23,4
0.001,124.3899757385254,132,-26.899742698669435,1503,32.219701640000004,1607,348,11.23,4
0.001,107.49686986749822,136,-26.053247104991566,1543,34.7247677,1647,357,11.14,4
0.001,149.5754768371582,140,-26.871495628356932,1582,36.93116669,1687,366,11.11,4
0.001,123.0859707919034,144,-29.325321891091086,1626,38.46934194000001,1730,376,11.12,4
0.001,111.82492446899414,148,-28.0836124420166,1666,40.40147078,1772,385,11.11,4
0.001,119.67754957411024,152,-29.414814207288956,1707,42.78926111,1811,394,11.09,4
0.001,105.21133041381836,156,-29.961658096313478,1748,44.07028928,1854,405,11.15,4
0.001,110.69382095336914,160,-33.1428768157959,1790,44.0404138,1894,414,11.11,4
0.001,127.89730103810628,164,-32.893651167551674,1834,42.90770921,1942,424,11.11,4
0.001,102.64243278503417,168,-33.136662292480466,1878,44.35017799,1981,431,11.07,4
0.001,94.86395568847657,172,-33.50043964385986,1917,45.12885983,2021,439,11.0,4
0.001,100.16143760681152,176,-37.27064971923828,1955,44.820992700000005,2058,447,10.93,4
0.001,94.50100326538086,180,-37.26948013305664,1994,44.57153862,2097,455,10.86,4
0.001,107.76164665222169,184,-38.848456954956056,2032,43.87076271000001,2138,464,10.88,4
